City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,chonchi,-42.6128,-73.8092,14.560000000000002,42,0,1.91,CL,1712774797
100,thompson,55.7435,-97.8558,11.090000000000032,43,75,2.06,CA,1712774538
101,shakhovskaya,56.0283,35.5097,15.080000000000041,91,65,3.82,RU,1712774798
102,astrakhan,46.3497,48.0408,13.930000000000007,62,0,1.0,RU,1712774644
103,alice springs,-23.7,133.8833,11.79000000000002,53,7,1.34,AU,1712774798
104,chalisgaon,20.4667,75.0167,32.920000000000016,23,100,1.89,IN,1712774644
105,el granada,37.5027,-122.4694,26.430000000000007,70,75,2.06,US,1712774551
106,pekan,3.4836,103.3996,27.890000000000043,84,71,3.92,MY,1712774644
107,bopolu,7.0667,-10.4875,26.510000000000048,84,68,1.41,LR,1712774644
108,horta,38.5333,-28.6333,16.120000000000005,98,75,3.6,PT,1712774798
109,olonkinbyen,70.9221,-8.7187,-6.359999999999957,77,100,5.79,SJ,1712774798
110,grande prairie,55.1667,-118.8027,8.100000000000023,31,20,3.09,CA,1712774560
111,parun,35.4207,70.9221,-4.419999999999959,91,100,4.6,AF,1712774799
112,chanal,16.7167,-92.4,27.83000000000004,30,51,1.57,MX,1712774799
113,isola di capo rizzuto,38.96,17.0933,17.32000000000005,80,57,3.1,IT,1712774799
114,dudinka,69.4058,86.1778,-31.289999999999964,100,100,1.79,RU,1712774645
115,weno,7.4515,151.8468,27.970000000000027,89,100,3.6,FM,1712774799
116,ancud,-41.8697,-73.8203,14.490000000000009,50,0,2.59,CL,1712774799
117,vilyuysk,63.7553,121.6247,0.5600000000000023,94,100,5.36,RU,1712774645
118,shingu,33.7333,135.9833,12.75,81,98,2.76,JP,1712774799
119,la passe,45.5549,-0.8967,14.129999999999995,81,100,3.08,FR,1712774646
120,moyale,3.5167,39.0584,22.170000000000016,78,4,2.51,KE,1712774799
121,georgetown,5.4112,100.3354,28.30000000000001,89,20,0.51,MY,1712774789
122,naze,28.3667,129.4833,18.510000000000048,70,97,4.26,JP,1712774646
123,albany,42.6001,-73.9662,12.870000000000005,79,100,0.45,US,1712774674
124,brady,31.1352,-99.3351,18.07000000000005,55,100,11.32,US,1712774542
125,sisimiut,66.9395,-53.6735,-3.9799999999999613,67,100,0.95,GL,1712774800
126,hiriyur,13.9456,76.6192,29.82000000000005,29,71,3.83,IN,1712774800
127,safaga,26.7292,33.9365,22.660000000000025,48,30,5.96,EG,1712774800
128,antonio enes,-16.2325,39.9086,27.629999999999995,80,88,4.85,MZ,1712774800
129,novyy urgal,51.0736,132.5642,-2.329999999999984,92,28,0.49,RU,1712774647
130,santo angelo,-28.2992,-54.2631,22.30000000000001,95,100,1.26,BR,1712774647
131,sarkand,45.41,79.9186,8.850000000000023,84,100,1.4,KZ,1712774801
132,lethem,3.3803,-59.7968,36.03000000000003,41,40,6.17,GY,1712774801
133,celestun,20.8667,-90.4,32.360000000000014,57,55,5.48,MX,1712774801
134,port augusta,-32.5,137.7667,12.400000000000034,74,0,2.52,AU,1712774801
135,parvatipuram,18.7833,83.4333,26.310000000000002,64,20,0.49,IN,1712774801
136,mahibadhoo,3.7833,72.9667,29.600000000000023,73,96,3.97,MV,1712774801
